step,time_s,rx,ry,speed_mps,d1_linear,d2_triangle,dmin,goals
1,1757715520.4192405,-17.260204245748657,-19.88342753151002,nan,1.707251041085578,8.906677002080952,1.707251041085578,0
2,1757715521.416758,-17.632023942423373,-20.388692248944448,0.628890683090667,1.1767377056469144,8.612212869720103,1.1767377056469144,0
3,1757715522.4169905,-18.01401760899923,-20.932267959141246,0.6642202755496026,2.5410157750014317,7.947467432366297,2.5410157750014317,0
4,1757715523.4210198,-18.37795866848344,-21.47458097270017,0.6504919199208081,4.241084421321678,7.4934097641054285,4.241084421321678,0
5,1757715524.4197445,-18.753754710695613,-21.956295545746382,0.6117397214909468,5.954249859828752,7.337659774196315,5.954249859828752,1
6,1757715525.4199135,-19.27956325068264,-22.21378711565048,0.5853722521817868,7.397201825495236,7.238760447111395,7.238760447111395,1
7,1757715526.4168522,-19.785186933939208,-22.171280851766415,0.508965317318515,8.549827649650835,5.983304338234286,5.983304338234286,1
8,1757715527.4192812,-25.259534354301465,-19.81139272763383,5.94689302079618,9.911731341416111,1.0001740481216772,1.0001740481216772,1
9,1757715528.4198954,-25.295920293252134,-19.829804743789804,0.04075411795847351,10.634604724067692,1.9369238502468527,1.9369238502468527,1
10,1757715529.4239275,-25.4743904486187,-20.036384683947578,0.2718997587327295,11.479993178219079,2.9620290876119886,2.9620290876119886,1
11,1757715530.4230673,-25.451954273438368,-20.488395630386375,0.452957068969304,12.113719848099654,3.72339354610598,3.72339354610598,1
12,1757715531.4216979,-25.06372521238358,-20.856891372302595,0.5360011851276304,11.34927501848101,4.2453666871134725,4.2453666871134725,1
13,1757715532.4193099,-24.579322750692434,-20.845982606752422,0.48568509531518694,10.226089696842902,4.718010700735941,4.718010700735941,1
14,1757715533.4243498,-23.98304810357186,-20.527472695128203,0.6726218805487371,8.829335926821324,5.347159599569128,5.347159599569128,1
15,1757715534.4206655,-23.382917375614607,-20.360062856048312,0.6253472487269706,7.535539407510051,5.877308698246412,5.877308698246412,1
16,1757715535.4169502,-22.73383107154976,-20.40861106715452,0.6533266354708218,6.378193294041659,6.2462664722060195,6.2462664722060195,1
