step,time_s,rx,ry,speed_mps,d1_linear,d2_triangle,dmin,goals
1,1757596370.9569347,-22.80053276817038,-23.9761388381159,nan,11.480217243173783,2.6616838959276916,2.6616838959276916,0
2,1757596371.959307,-22.797631853334046,-23.793909922774297,0.1818206770086698,10.362621930272788,3.2540256940017143,3.2540256940017143,0
3,1757596372.964654,-22.56059402188099,-23.855118284658715,0.24351092772632307,9.436322857123827,3.8616350797536465,3.8616350797536465,0
4,1757596373.9577317,-22.01557830999981,-23.941228862079978,0.555622520928067,8.352226025055007,4.155381265300602,4.155381265300602,0
5,1757596374.9607131,-21.40343211418955,-23.904835476292295,0.6114042180069794,7.173586707007671,4.383174057825806,4.383174057825806,0
6,1757596375.959624,-20.8299392869313,-24.104028965736052,0.6077632790548805,6.222219567378548,5.268175712628789,5.268175712628789,0
7,1757596376.9573157,-20.98991137485811,-24.037837535614774,0.17352587566691774,5.353829707989283,4.210396743752032,4.210396743752032,1
8,1757596377.96152,-20.74335185610213,-23.657117336624783,0.45168611381304796,3.9832814486886914,3.1438174104593664,3.1438174104593664,1
9,1757596378.9615884,-20.63520519064368,-23.16923964036455,0.4996860779231965,2.774709525183904,2.235317633700314,2.235317633700314,1
10,1757596379.965059,-20.66061882427166,-22.796979523333253,0.3718360674679544,2.0931741835068474,1.6668094599629037,1.6668094599629037,1
11,1757596380.9663332,-20.523810664899546,-22.305611880919006,0.5094084377693482,2.086831108885809,2.06642519369239,2.06642519369239,1
12,1757596381.9577825,-13.415779453006055,-21.733887714777165,7.192487443717367,5.880672779979567,9.24046718127062,5.880672779979567,1
13,1757596382.966445,-12.450234265553185,-21.667440308755545,0.95951711258714,7.291692603843945,11.326192786823269,7.291692603843945,1
14,1757596383.9638283,-12.210570276793623,-21.783863946289213,0.2671446846726363,8.02359419687269,12.482481834101566,8.02359419687269,1
15,1757596384.9598596,-12.627878462223233,-21.554971237353726,0.47785655266610777,7.990159735975692,12.863593987579165,7.990159735975692,1
16,1757596385.9585385,-12.847659479661939,-21.130519895962067,0.4786099338128391,7.643988062522858,13.013648032324728,7.643988062522858,1
17,1757596386.9595006,-13.019772603684299,-20.792426295289022,0.3790167307577761,7.187186454007709,12.881959165930526,7.187186454007709,1
18,1757596387.9587314,-13.637292734906115,-20.64000122813838,0.6365434505515374,6.183806713964999,12.277077912863623,6.183806713964999,1
19,1757596388.964834,-13.864028563192962,-20.32989522016321,0.3818246415534761,5.541077170931077,12.124921495068149,5.541077170931077,1
20,1757596389.964931,-14.151556308311868,-19.985297243599994,0.4487548163881647,4.890632930091264,11.930675838263232,4.890632930091264,1
21,1757596390.959251,-14.645514512404418,-19.746965754175616,0.5515823080511522,4.0745392397695674,10.651595701338257,4.0745392397695674,1
22,1757596391.9659998,-15.240515062898822,-19.524895641210357,0.6308337238071469,3.3059768479223917,9.241182304941663,3.3059768479223917,1
23,1757596392.965428,-15.883399692964714,-19.555660481387864,0.6439885112697739,2.93252804984632,7.780808804410301,2.93252804984632,1
24,1757596393.961327,-16.511143859295746,-19.552051743320703,0.6303395856745659,3.227517573502711,6.450694496696447,3.227517573502711,1
25,1757596394.965229,-17.159290129468662,-19.423211040669944,0.6582593997529044,3.850222264388363,5.274524221549423,3.850222264388363,1
