sequence,timestamp,concat_min,concat_max,concat_mean,concat_std
1,1732063728614,0.0,0.21377092599868774,0.03504793718457222,0.04850686714053154
2,1732063728866,0.0,0.21425293385982513,0.03509514778852463,0.04853888601064682
3,1732063728870,0.0,0.21446746587753296,0.035118699073791504,0.04855506494641304
4,1732063728873,0.0,0.2146192193031311,0.03513261303305626,0.048566486686468124
5,1732063728876,0.0,0.21470095217227936,0.03514176979660988,0.04857146367430687
6,1732063728878,0.0,0.21479462087154388,0.0351966992020607,0.04854718968272209
7,1732063728881,0.0,0.21484677493572235,0.035195328295230865,0.04854937642812729
8,1732063728883,0.0,0.21487057209014893,0.035196635872125626,0.04855307191610336
9,1732063728885,0.0,0.2149296998977661,0.03519883379340172,0.04855797439813614
10,1732063728888,0.0,0.21494333446025848,0.03520115837454796,0.04856044799089432
11,1732063728890,0.0,0.21496331691741943,0.03520071506500244,0.04856410250067711
12,1732063728893,0.0,0.21499919891357422,0.03520345687866211,0.048568274825811386
13,1732063728897,0.0,0.21500995755195618,0.03557729348540306,0.04848422855138779
14,1732063728926,0.0,0.21024177968502045,0.03551265597343445,0.048587214201688766
15,1732063728975,0.0,0.6248379945755005,0.050019439309835434,0.07999281585216522
16,1732063729027,0.0,0.25787344574928284,0.04766538366675377,0.06080608069896698
17,1732063729078,0.0,0.7802461385726929,0.04707828164100647,0.08612003922462463
18,1732063729125,0.0,0.4148602783679962,0.07384952157735825,0.10436887294054031
19,1732063729171,0.0,1.7511017322540283,0.12045533210039139,0.2079949676990509
20,1732063729229,0.0,0.6328487992286682,0.10749806463718414,0.15605592727661133
21,1732063729275,0.0,1.4143682718276978,0.11340279132127762,0.18872171640396118
22,1732063729325,0.0,0.5913776755332947,0.10107976198196411,0.1453779637813568
23,1732063729381,0.0,1.3764867782592773,0.11961836367845535,0.2016579508781433
24,1732063729429,0.0,1.0660276412963867,0.10468336194753647,0.16752654314041138
25,1732063729480,0.0,0.5999614000320435,0.08919862657785416,0.13397172093391418
