step,time_s,robot_x,robot_y,speed_mps,diag_actor_dist,linear_actor_dist,triangle_actor_dist,dmin,goals_count
1,6.17,-19.51,-22.09,nan,0.85,2.33,4.08,0.85,0
2,6.17,-19.51,-22.09,nan,0.85,2.33,4.08,0.85,0
3,6.17,-19.51,-22.09,nan,0.85,2.18,4.08,0.85,0
4,6.17,-19.51,-22.09,nan,4.12,2.18,4.08,2.18,0
5,6.17,-19.51,-22.09,nan,4.12,2.18,2.48,2.18,0
6,6.17,-19.51,-22.09,nan,4.12,2.18,2.48,2.18,0
7,7.00,-19.45,-22.09,0.07,5.16,3.23,3.36,3.23,0
8,8.00,-19.36,-22.09,0.08,5.97,4.15,4.39,4.15,0
9,9.00,-19.31,-22.10,0.05,4.97,5.15,5.32,4.97,0
10,10.00,-19.31,-22.10,0.01,3.95,6.14,6.13,3.95,0
11,11.00,-19.31,-22.09,0.00,2.96,7.12,6.50,2.96,0
12,12.02,-19.30,-22.09,0.01,2.03,8.11,6.49,2.03,0
13,13.00,-19.35,-22.07,0.05,1.20,9.08,6.53,1.20,0
14,14.00,-19.53,-21.97,0.21,0.75,10.02,6.57,0.75,0
15,15.00,-19.41,-22.55,0.59,1.68,11.55,7.24,1.68,0
16,16.00,-19.35,-23.09,0.53,2.90,11.70,6.70,2.90,0
17,17.00,-19.20,-23.49,0.43,4.18,11.07,6.03,4.18,0
18,18.01,-19.19,-23.51,0.02,5.06,10.10,5.09,5.06,0
19,19.00,-19.21,-23.48,0.03,5.98,9.18,4.03,4.03,0
20,20.00,-19.23,-23.45,0.04,6.87,8.06,3.11,3.11,0
21,21.00,-19.21,-23.48,0.04,7.83,7.07,2.04,2.04,0
22,23.25,-19.54,-22.08,0.64,6.29,3.59,1.38,1.38,0
23,23.25,-19.54,-22.08,nan,6.29,3.59,1.38,1.38,0
24,24.00,-19.54,-22.08,0.00,5.56,2.91,2.01,2.01,0
25,25.00,-19.54,-22.08,0.00,4.59,1.97,2.91,1.97,0
26,26.00,-19.54,-22.08,0.00,3.62,1.22,3.90,1.22,0
27,27.00,-19.54,-22.09,0.00,2.66,0.97,3.94,0.97,0
