1737258909.8073153,Collision,36,x=-21.87,y=-22.75
1737258909.8226924,Collision,36,x=-21.87,y=-22.76
1737258909.8364775,Collision,36,x=-21.87,y=-22.76
1737258909.8486123,Collision,36,x=-21.86,y=-22.76
1737258909.8594904,Collision,36,x=-21.86,y=-22.76
1737258909.8702254,Collision,36,x=-21.86,y=-22.77
1737258909.880164,Collision,36,x=-21.86,y=-22.77
1737258909.889663,Collision,36,x=-21.85,y=-22.78
1737258910.3065994,Collision,36,x=-21.62,y=-22.70
1737258910.3538594,Collision,36,x=-21.61,y=-22.68
1737258910.4049404,Collision,36,x=-21.59,y=-22.64
1737258912.1935327,episode_start,37,x=-23.24,y=-27.73
1737258934.8401713,goal_reached,37,x=-19.22,y=-22.48
1737258934.8401713,episode_start,38,x=-19.22,y=-22.48
1737258959.2080994,goal_reached,38,x=-21.64,y=-23.78
1737258959.2080994,episode_start,39,x=-21.64,y=-23.78
1737258987.935749,goal_reached,39,x=-16.30,y=-24.67
1737258987.935749,episode_start,40,x=-16.30,y=-24.67
1737259015.24955,episode_start,41,x=-22.12,y=-24.31
1737259118.1360893,episode_start,42,x=-14.29,y=-20.81
1737259219.659672,episode_start,43,x=-26.99,y=-25.14
1737259245.5025806,episode_start,44,x=-24.00,y=-28.12
1737259347.7126276,episode_start,45,x=-19.37,y=-24.70
1737259348.0879667,Collision,45,x=-19.39,y=-24.71
1737259348.1317034,Collision,45,x=-19.34,y=-24.69
1737259349.921554,episode_start,46,x=-23.53,y=-26.61
1737259355.5675375,episode_start,47,x=-25.36,y=-20.04
1737259375.8735409,episode_start,48,x=-14.26,y=-24.05
1737259431.3305812,episode_start,49,x=-15.33,y=-22.03
1737259532.8365371,episode_start,50,x=-28.22,y=-19.66
1737259538.897517,episode_start,51,x=-23.80,y=-22.51
1737259541.1145542,episode_start,52,x=-20.87,y=-24.00
1737259541.8833494,Collision,52,x=-20.83,y=-24.02
1737259543.727597,episode_start,53,x=-21.90,y=-27.88
1737259628.2785754,episode_start,54,x=-20.37,y=-26.11
1737259630.5835593,episode_start,55,x=-18.94,y=-21.38
1737259632.3115573,episode_start,56,x=-17.96,y=-27.03
1737259634.652544,episode_start,57,x=-19.76,y=-23.53
1737259738.5935214,episode_start,58,x=-17.03,y=-21.42
1737259807.017506,goal_reached,58,x=-23.11,y=-22.64
1737259807.017506,episode_start,59,x=-23.11,y=-22.64
1737259841.5222015,episode_start,60,x=-18.50,y=-24.12
1737259909.6502874,goal_reached,60,x=-18.10,y=-26.62
1737259909.6502874,episode_start,61,x=-18.10,y=-26.62
1737259934.5555546,episode_start,62,x=-21.96,y=-22.66
1737260036.0835404,episode_start,63,x=-18.10,y=-23.27
1737260051.0673065,goal_reached,63,x=-16.48,y=-22.76
1737260051.0673065,episode_start,64,x=-16.48,y=-22.76
1737260064.709134,goal_reached,64,x=-14.01,y=-23.99
1737260064.709134,episode_start,65,x=-14.01,y=-23.99
1737260137.5824988,episode_start,66,x=-28.15,y=-23.49
1737260146.4525504,goal_reached,66,x=-25.82,y=-20.86
1737260146.4525504,episode_start,67,x=-25.82,y=-20.86
1737260202.7005653,episode_start,68,x=-27.01,y=-22.20
1737260203.007008,Collision,68,x=-27.01,y=-22.18
1737260203.0571098,Collision,68,x=-27.04,y=-22.14
1737260204.8466058,episode_start,69,x=-22.29,y=-24.83
1737260206.5275328,episode_start,70,x=-20.47,y=-26.48
1737260206.8622417,Collision,70,x=-20.44,y=-26.43
1737260206.9136977,Collision,70,x=-20.45,y=-26.44
1737260206.963031,Collision,70,x=-20.46,y=-26.44
1737260207.0168257,Collision,70,x=-20.46,y=-26.44
1737260207.0628326,Collision,70,x=-20.45,y=-26.44
1737260207.1149504,Collision,70,x=-20.44,y=-26.44
1737260209.1247685,Collision,70,x=-20.19,y=-26.62
1737260209.1712923,Collision,70,x=-20.22,y=-26.61
1737260210.9575298,episode_start,71,x=-15.40,y=-19.91
1737260212.62484,episode_start,72,x=-23.39,y=-21.52
1737260263.320787,Collision,72,x=-20.88,y=-17.89
1737260263.4203699,Collision,72,x=-20.90,y=-17.93
