step,time_s,rx,ry,speed_mps,d1_triangle,d2_triangle2,d3_triangle3,dmin,goals
1,1767655811.1394784,-8.147816130464582,-1.0639418478400728,nan,4.131143251737435,3.466169800917229,6.395748037686698,3.466169800917229,1
2,1767655812.1439002,-7.881753156060258,-1.103157600983133,0.26775357616446877,3.743282823769142,2.9306153830422295,5.4340454261739275,2.9306153830422295,1
3,1767655813.140686,-7.237695199338743,-1.0946229678918924,0.6461914393036079,3.241911165305251,2.2986078403515355,4.022460357243741,2.2986078403515355,1
4,1767655814.1375432,-6.608073651580541,-1.1998770470389437,0.6403711898625537,3.1064079926152988,2.0902576381393807,2.7491660236428976,2.0902576381393807,1
5,1767655815.145671,-5.956614557143878,-1.4394539505797912,0.6885192258242988,3.39523599055718,2.5956255828613717,1.908416376464056,1.908416376464056,1
6,1767655816.1382601,-5.355293783870065,-1.7218721622617188,0.6692993297289376,4.049503031257143,3.409540388507367,1.845499140513603,1.845499140513603,1
7,1767655817.1375093,-4.737440377081934,-1.9596913405259986,0.6625403163409874,4.622277798395332,4.131774898094682,2.3201498685627895,2.3201498685627895,1
8,1767655818.1469982,-4.195820125539287,-2.191255224323362,0.583508461830908,4.4617813664777035,4.125418345585574,2.412053039339349,2.412053039339349,1
9,1767655819.143531,-3.7486808868159724,-2.3701407319787013,0.48327030947170013,3.901622588906558,3.8662553434776776,2.766753568192679,2.766753568192679,1
10,1767655820.1447334,-3.3079426309807567,-2.5208637056135355,0.46523845989601137,3.6180410252140183,3.9655984547713445,3.8638809206162796,3.6180410252140183,1
11,1767655821.1382768,-3.181340981227801,-2.5423243557897717,0.12924216596677307,3.6524406042925373,4.288788786946061,4.829504042691985,3.6524406042925373,2
12,1767655822.1439354,-3.6554513479803794,-2.46589857556371,0.4775285593335092,3.6312908568713524,4.406265674330247,5.291432850828159,3.6312908568713524,2
13,1767655823.1393929,-3.694173794905738,-2.278462847935826,0.19226717304006252,4.070915164982194,4.967622883979983,4.378315593172117,4.070915164982194,2
14,1767655824.1455233,-4.011409585782461,-1.8107026776070874,0.561744821374525,4.213666922442944,5.1931375778334905,3.269066366531023,3.269066366531023,2
15,1767655825.147733,-4.488313868150285,-1.3593425935526193,0.6551827715557123,3.7549782662640867,4.73678206840468,2.064490674247115,2.064490674247115,2
16,1767655826.1439798,-4.821902848679093,-0.9765740285693117,0.5096463713562636,2.9255129587277686,3.8682720959983077,1.70919655678083,1.70919655678083,3
17,1767655827.1403065,-4.761154380904844,-1.1779649457026793,0.21112924121690815,2.612212010774164,3.4427736959612716,2.6680163855241537,2.612212010774164,3
18,1767655828.140373,-4.6712278372610365,-1.3175316624052433,0.16601802541140628,2.751466077251979,3.3473286645765943,3.579992839266793,2.751466077251979,3
19,1767655829.1473992,-4.178379237683398,-1.6113057398888884,0.5697588656918969,3.0247489126402076,3.5574493058680803,4.1790496214635695,3.0247489126402076,3
20,1767655830.1443973,-3.6513537048168163,-1.9949913250547122,0.6538604880903223,2.446911310455548,3.1598355803146756,3.7926708680426304,2.446911310455548,3
21,1767655831.1376455,-3.2273779857788525,-2.252948428950501,0.4996570374171319,1.7028915356232708,2.6190235564595477,2.996715382500564,1.7028915356232708,3
22,1767655832.1448612,-2.9433301550500413,-2.634013155951506,0.47187759840003934,1.3467170922966758,2.2917316613198637,2.330660082305744,1.3467170922966758,4
23,1767655833.1391578,-3.0986891821428535,-2.88289084137101,0.29507094097702546,1.9331315892072394,2.413540987238526,1.654288297793852,1.654288297793852,4
24,1767655834.1426203,-3.4766476956006893,-2.7954797768936834,0.38659609133930445,2.8946850491371685,2.9430400680638895,0.9543167461484743,0.9543167461484743,4
25,1767655835.1382551,-3.8913063905748797,-2.4498610260029308,0.5421760786110974,3.737892451842905,3.4962493257861746,1.3915480332860992,1.3915480332860992,4
