step,time_s,robot_x,robot_y,speed_mps,diag_actor_dist,linear_actor_dist,triangle_actor_dist,dmin,goals_count
1,6.21,-20.18,-21.91,nan,0.96,10.41,5.70,0.96,0
2,6.21,-20.09,-23.90,nan,2.94,12.34,5.54,2.94,0
3,6.21,-20.09,-23.90,nan,2.94,8.17,5.54,2.94,0
4,6.21,-20.09,-23.90,nan,4.12,8.17,5.54,4.12,0
5,6.21,-20.09,-23.90,nan,4.12,8.17,7.19,4.12,0
6,6.21,-20.09,-23.90,nan,4.12,8.17,7.19,4.12,0
7,7.01,-20.48,-24.10,0.54,5.40,7.37,5.94,5.40,0
8,8.00,-20.12,-23.99,0.38,5.89,6.21,5.23,5.23,0
9,9.00,-19.45,-23.71,0.72,5.84,4.80,4.59,4.59,0
10,10.01,-18.85,-23.50,0.64,4.33,3.52,4.01,3.52,0
11,11.01,-18.35,-23.42,0.50,2.96,2.41,3.43,2.41,0
12,12.00,-18.10,-23.50,0.27,2.04,1.56,2.70,1.56,0
13,13.00,-17.51,-23.69,0.61,1.71,1.34,2.35,1.34,0
14,14.01,-16.96,-23.53,0.57,2.30,1.84,1.88,1.84,0
15,15.00,-16.61,-23.20,0.49,3.22,2.82,1.45,1.45,0
16,16.00,-16.54,-22.82,0.39,4.08,3.93,1.48,1.48,0
17,17.00,-16.53,-22.62,0.20,4.97,4.40,2.01,2.01,0
18,18.00,-16.62,-22.54,0.12,5.85,3.55,2.06,2.06,0
19,19.00,-16.61,-22.55,0.02,6.84,2.78,2.25,2.25,0
20,20.00,-16.64,-22.79,0.24,7.92,2.12,2.66,2.12,0
21,21.00,-16.71,-22.91,0.14,8.83,1.98,3.55,1.98,1
22,22.00,-17.18,-23.02,0.48,9.46,2.15,4.19,2.15,1
23,23.00,-17.38,-22.96,0.20,9.75,2.84,5.20,2.84,1
24,24.01,-17.31,-22.98,0.07,8.84,3.79,6.38,3.79,1
25,25.00,-17.35,-22.97,0.04,7.82,4.72,7.31,4.72,1
26,26.00,-17.36,-22.93,0.03,6.85,5.55,8.06,5.55,1
27,27.01,-17.30,-22.87,0.09,5.87,6.54,8.38,5.87,1
28,28.00,-17.34,-22.86,0.04,4.89,7.51,8.47,4.89,1
29,29.00,-17.47,-22.82,0.13,3.74,8.38,8.56,3.74,1
30,30.00,-17.48,-22.83,0.02,2.81,9.46,8.85,2.81,1
31,31.00,-17.51,-22.82,0.03,1.83,10.39,8.99,1.83,1
32,32.00,-17.52,-22.81,0.01,1.04,11.42,7.99,1.04,1
33,33.01,-17.51,-22.82,0.01,0.89,11.71,7.03,0.89,1
34,34.00,-17.17,-23.05,0.41,1.33,10.98,6.49,1.33,1
35,35.00,-17.25,-23.57,0.52,2.36,10.49,5.55,2.36,1
36,36.01,-17.54,-23.98,0.50,3.54,9.92,4.44,3.54,1
37,37.00,-17.89,-24.08,0.38,4.15,8.99,3.18,3.18,1
38,38.00,-18.25,-24.04,0.36,3.66,7.95,1.87,1.87,1
39,39.01,-18.35,-24.00,0.11,2.99,6.91,0.83,0.83,1
40,40.01,-18.39,-23.96,0.06,2.46,5.87,0.44,0.44,1
41,41.00,-18.40,-23.92,0.04,2.17,4.85,1.32,1.32,1
42,42.01,-18.39,-23.90,0.03,2.33,3.82,2.30,2.30,1
43,43.00,-18.54,-23.70,0.25,2.62,2.66,2.02,2.02,1
44,44.00,-18.87,-23.23,0.57,2.77,1.21,1.79,1.21,1
45,45.00,-18.94,-23.13,0.13,3.48,0.28,1.33,0.28,1
46,46.01,-19.01,-23.03,0.12,4.28,1.02,1.59,1.02,1
47,47.00,-19.07,-23.12,0.11,5.18,1.85,2.33,1.85,1
48,48.00,-19.26,-23.67,0.59,6.35,2.34,3.15,2.34,1
49,49.00,-19.75,-24.00,0.58,7.12,2.36,3.79,2.36,1
50,50.00,-20.23,-24.05,0.49,7.71,1.82,4.28,1.82,1
51,51.00,-20.73,-24.06,0.49,7.41,1.96,4.59,1.96,1
52,52.01,-21.12,-24.03,0.40,6.23,2.55,4.59,2.55,1
53,53.01,-21.78,-24.08,0.66,5.11,3.63,4.35,3.63,1
54,54.00,-22.20,-24.25,0.46,4.49,4.69,4.66,4.49,1
55,55.00,-22.25,-24.27,0.05,4.06,5.45,5.36,4.06,1
56,56.00,-22.36,-24.20,0.13,3.79,6.25,5.70,3.79,1
57,57.00,-22.41,-24.13,0.09,3.81,7.02,4.75,3.81,1
58,58.00,-22.43,-24.15,0.03,4.17,7.93,3.89,3.89,1
59,59.01,-22.44,-24.16,0.02,4.68,8.82,3.13,3.13,1
60,60.00,-22.45,-24.16,0.01,5.33,9.76,2.54,2.54,1
61,61.00,-22.46,-24.14,0.02,6.08,10.67,2.24,2.24,1
62,62.00,-22.48,-24.17,0.04,6.91,11.65,2.42,2.42,1
63,63.01,-22.49,-24.18,0.01,7.76,12.61,2.95,2.95,1
64,64.00,-22.50,-24.16,0.02,8.67,13.55,3.67,3.67,1
65,65.00,-22.53,-23.91,0.24,8.54,13.53,4.49,4.49,1
66,66.00,-22.60,-23.82,0.12,7.69,12.53,5.48,5.48,1
67,67.00,-22.95,-23.84,0.34,7.17,11.71,6.75,6.75,1
68,68.00,-23.62,-24.01,0.70,7.03,11.23,6.95,6.95,1
69,69.00,-24.29,-24.16,0.68,6.90,10.85,6.75,6.75,1
70,70.00,-24.95,-24.30,0.68,6.87,10.54,6.32,6.32,1
71,71.00,-25.61,-24.40,0.67,6.80,10.28,5.75,5.75,1
72,72.00,-26.08,-24.39,0.46,6.56,9.91,4.99,4.99,1
73,73.01,-26.29,-24.30,0.22,6.11,9.41,3.96,3.96,2
74,74.00,-26.52,-23.95,0.43,5.57,8.90,3.04,3.04,2
75,75.00,-26.57,-23.64,0.31,4.98,8.41,2.09,2.09,2
76,76.00,-26.51,-23.45,0.20,4.54,8.02,1.33,1.33,2
77,77.01,-26.46,-23.50,0.07,4.52,7.80,0.81,0.81,2
78,78.00,-26.42,-23.48,0.05,4.69,7.68,1.20,1.20,2
79,79.00,-26.36,-23.50,0.07,4.61,7.66,2.09,2.09,2
80,80.00,-26.25,-23.57,0.13,4.52,7.69,3.08,3.08,3
81,81.00,-26.45,-23.41,0.26,4.55,7.98,3.60,3.60,3
82,82.00,-26.83,-22.85,0.67,4.77,8.30,3.04,3.04,3
83,83.00,-27.08,-22.24,0.66,5.36,8.53,3.12,3.12,3
84,84.00,-27.24,-21.56,0.71,6.19,8.72,3.82,3.82,3
85,85.02,-27.39,-20.91,0.66,7.18,8.89,4.90,4.90,3
86,86.00,-27.57,-20.26,0.68,8.36,9.07,6.18,6.18,3
87,87.00,-27.83,-19.70,0.62,9.69,9.35,7.60,7.60,3
