step,time_s,robot_x,robot_y,speed_mps,diag_actor_dist,linear_actor_dist,triangle_actor_dist,dmin,goals_count
1,6.18,-20.16,-22.17,nan,1.20,3.40,3.51,1.20,0
2,6.18,-19.71,-22.69,nan,1.78,3.69,3.66,1.78,0
3,6.18,-19.71,-22.69,nan,1.78,7.77,3.66,1.78,0
4,6.18,-19.71,-22.69,nan,5.36,7.77,3.66,3.66,0
5,6.18,-19.71,-22.69,nan,5.36,7.77,6.06,5.36,0
6,6.18,-19.71,-22.69,nan,5.36,7.77,6.06,5.36,0
7,7.00,-19.47,-23.04,0.53,6.80,9.19,6.59,6.59,0
8,8.00,-19.40,-23.51,0.48,8.09,10.63,7.24,7.24,0
9,9.01,-19.45,-23.75,0.24,8.11,11.88,7.71,7.71,1
10,10.00,-19.45,-23.75,0.01,7.14,12.87,6.77,6.77,1
11,11.00,-19.22,-23.15,0.64,6.04,11.64,5.73,5.73,1
12,12.00,-18.83,-22.58,0.69,5.06,10.04,4.87,4.87,1
13,13.00,-18.28,-22.18,0.68,4.40,8.61,4.34,4.34,1
14,14.00,-17.84,-22.04,0.46,3.74,7.48,3.85,3.74,1
15,15.00,-17.53,-22.11,0.32,3.04,6.59,3.30,3.04,1
16,16.00,-17.60,-21.97,0.16,1.95,5.47,2.47,1.95,2
17,17.00,-17.99,-21.40,0.69,0.53,3.87,2.17,0.53,2
18,18.00,-18.23,-21.06,0.42,1.09,2.51,2.66,1.09,2
19,19.00,-18.20,-21.10,0.05,1.98,1.61,3.11,1.61,2
20,20.00,-18.18,-21.14,0.05,2.89,0.72,3.90,0.72,2
21,22.09,-20.22,-22.05,1.08,6.63,1.68,3.61,1.68,2
22,22.09,-20.22,-22.05,nan,6.63,1.68,3.61,1.68,2
23,23.02,-20.84,-21.96,0.67,6.84,2.62,3.39,2.62,2
24,24.00,-20.55,-21.91,0.30,5.59,3.09,2.60,2.60,2
25,25.00,-20.54,-21.81,0.10,4.62,3.96,2.50,2.50,2
26,26.00,-20.55,-21.80,0.02,3.64,4.90,2.90,2.90,2
27,27.00,-20.56,-21.77,0.03,2.72,4.34,3.65,2.72,2
28,28.00,-20.64,-21.64,0.15,1.88,3.64,4.45,1.88,2
29,29.00,-20.62,-21.58,0.06,1.02,2.92,5.18,1.02,2
30,30.00,-20.61,-21.55,0.03,0.76,2.35,5.40,0.76,2
31,32.51,-19.50,-22.10,0.49,4.09,2.02,6.52,2.02,2
32,32.52,-19.50,-22.10,0.00,4.09,2.02,6.52,2.02,2
33,33.00,-19.50,-22.10,0.00,4.57,2.47,6.66,2.47,2
34,34.00,-19.50,-22.10,0.00,5.53,3.37,6.96,3.37,2
35,35.00,-19.50,-22.10,0.00,6.49,4.26,6.09,4.26,2
36,36.00,-19.51,-22.10,0.00,7.48,5.34,5.10,5.10,2
37,37.00,-20.04,-22.16,0.54,6.51,6.51,3.64,3.64,2
38,38.00,-20.48,-22.57,0.60,5.38,7.99,2.39,2.39,2
39,39.00,-20.68,-23.17,0.63,4.77,9.59,1.56,1.56,2
40,40.00,-20.70,-23.80,0.63,4.43,11.20,1.36,1.36,2
41,41.00,-20.51,-24.30,0.54,4.27,12.63,1.54,1.54,2
42,42.00,-20.27,-24.42,0.26,3.85,13.70,1.66,1.66,2
43,43.00,-20.38,-24.39,0.11,3.42,13.00,2.32,2.32,3
44,44.00,-20.67,-24.18,0.35,3.21,11.85,3.39,3.21,3
45,45.00,-21.16,-23.73,0.67,3.56,10.55,4.85,3.56,3
46,46.00,-21.56,-23.20,0.66,4.37,9.22,5.17,4.37,3
47,47.00,-21.73,-22.75,0.48,5.34,7.94,4.66,4.66,3
48,48.00,-21.70,-22.55,0.21,6.19,6.87,3.80,3.80,3
49,49.00,-21.66,-22.40,0.16,7.16,5.83,2.82,2.82,3
50,50.00,-21.63,-22.35,0.05,8.09,4.94,2.06,2.06,3
51,51.00,-21.62,-22.37,0.02,7.36,4.21,1.88,1.88,3
52,52.00,-21.61,-22.39,0.03,6.36,3.58,2.41,2.41,3
53,53.00,-21.60,-22.40,0.01,5.41,3.15,3.20,3.15,3
54,54.00,-21.60,-22.41,0.01,4.50,2.97,3.90,2.97,3
55,55.00,-21.59,-22.41,0.01,3.61,3.10,4.20,3.10,3
56,56.00,-21.59,-22.42,0.01,2.79,3.47,4.20,2.79,3
57,57.00,-21.59,-22.41,0.00,2.16,4.05,4.36,2.16,3
58,58.00,-21.59,-22.42,0.00,1.85,4.74,4.74,1.85,3
59,59.00,-21.59,-22.42,0.00,2.03,4.25,5.21,2.03,3
60,60.00,-21.59,-22.42,0.00,2.61,3.61,4.38,2.61,3
61,61.00,-21.59,-22.42,0.00,3.39,3.16,3.37,3.16,3
62,62.00,-21.59,-22.41,0.00,4.24,2.97,2.37,2.37,3
63,63.00,-21.59,-22.41,0.00,5.15,3.07,1.40,1.40,3
64,64.00,-21.59,-22.41,0.00,6.09,3.46,0.48,0.48,3
65,65.01,-21.61,-22.41,0.02,5.17,4.06,0.74,0.74,4
66,66.00,-21.66,-22.40,0.05,4.20,4.83,1.74,1.74,4
67,67.00,-21.67,-22.39,0.02,3.34,5.62,2.68,2.68,4
68,68.00,-21.51,-22.14,0.29,2.41,6.17,3.63,2.41,4
69,69.00,-21.36,-21.79,0.39,1.48,6.70,4.66,1.48,4
70,70.00,-21.36,-21.77,0.02,1.16,7.60,5.65,1.16,4
71,71.00,-21.36,-21.77,0.00,1.61,8.53,5.58,1.61,4
72,72.02,-21.35,-21.70,0.07,2.37,9.42,4.89,2.37,4
73,73.00,-21.51,-21.41,0.33,3.42,10.16,4.34,3.42,4
74,74.00,-21.63,-20.95,0.48,4.62,10.72,4.01,4.01,4
75,75.00,-21.66,-20.70,0.25,5.74,9.73,3.67,3.67,4
76,76.00,-21.67,-20.57,0.14,6.77,8.69,3.64,3.64,5
77,77.00,-21.78,-20.18,0.40,8.00,7.46,4.18,4.18,5
78,78.00,-22.15,-19.98,0.42,9.21,6.64,4.57,4.57,5
79,79.00,-22.39,-20.02,0.24,8.43,6.00,4.80,4.80,5
