step,time_s,robot_x,robot_y,speed_mps,diag_actor_dist,linear_actor_dist,triangle_actor_dist,dmin,goals_count
1,6.69,-19.50,-22.10,nan,nan,nan,nan,nan,0
2,6.69,-19.50,-22.10,nan,nan,nan,nan,nan,0
3,6.69,-19.50,-22.10,nan,nan,nan,nan,nan,0
4,6.69,-19.50,-22.10,nan,nan,nan,nan,nan,0
5,6.69,-19.50,-22.10,nan,nan,nan,nan,nan,0
6,6.70,-19.50,-22.10,0.00,nan,nan,nan,nan,0
7,7.00,-19.56,-22.10,0.17,nan,nan,nan,nan,0
8,8.01,-20.03,-21.96,0.49,nan,nan,nan,nan,0
9,9.00,-19.49,-22.17,0.58,nan,nan,nan,nan,0
10,10.01,-19.01,-22.16,0.48,nan,nan,nan,nan,0
11,11.01,-19.55,-22.27,0.55,nan,nan,nan,nan,0
