step,time_s,robot_x,robot_y,speed_mps,diag_actor_dist,linear_actor_dist,triangle_actor_dist,dmin,goals_count
1,6.21,-19.50,-22.10,nan,6.79,2.28,2.75,2.28,0
2,6.21,-18.93,-22.13,nan,7.31,2.13,2.48,2.13,0
3,6.21,-18.93,-22.13,nan,7.31,2.60,2.48,2.48,0
4,6.21,-18.93,-22.13,nan,5.04,2.60,2.48,2.48,0
5,6.21,-18.93,-22.13,nan,5.04,2.60,4.71,2.60,0
6,6.21,-18.93,-22.13,nan,5.04,2.60,4.71,2.60,0
7,7.00,-18.41,-22.21,0.68,4.47,1.50,6.18,1.50,0
8,8.00,-17.94,-22.29,0.48,3.94,0.82,7.43,0.82,0
9,9.00,-18.03,-22.26,0.09,2.86,0.70,7.72,0.70,0
10,10.00,-17.55,-22.07,0.51,2.21,1.67,8.24,1.67,0
11,11.01,-17.57,-22.04,0.03,1.19,2.46,8.31,1.19,0
12,12.00,-17.60,-22.08,0.05,0.28,3.46,8.50,0.28,0
13,13.01,-17.77,-22.29,0.27,0.97,4.58,8.68,0.97,0
14,14.00,-18.02,-22.49,0.32,2.17,5.65,7.67,2.17,0
15,15.00,-18.02,-22.49,0.00,3.13,6.75,6.70,3.13,0
16,16.00,-18.02,-22.49,0.00,4.12,7.72,5.76,4.12,0
17,17.00,-18.02,-22.49,0.00,4.19,8.74,4.76,4.19,0
18,18.00,-18.02,-22.49,0.00,3.17,9.72,3.79,3.17,0
19,19.00,-18.06,-22.51,0.04,2.24,10.75,2.84,2.24,0
20,20.00,-18.58,-22.85,0.62,1.96,12.00,1.51,1.51,0
21,21.00,-18.91,-23.06,0.39,1.70,11.33,0.29,0.29,0
22,22.00,-18.74,-22.64,0.45,1.11,9.88,1.15,1.11,0
23,23.00,-18.82,-22.75,0.14,1.71,9.05,1.98,1.71,0
24,24.00,-19.03,-22.78,0.21,2.37,8.07,3.14,2.37,0
25,25.00,-19.55,-22.89,0.53,3.01,7.26,3.44,3.01,0
26,26.00,-19.60,-22.90,0.05,3.87,6.33,2.76,2.76,0
27,27.00,-19.64,-22.92,0.05,4.72,5.38,1.97,1.97,0
28,28.00,-19.69,-22.93,0.05,5.66,4.39,1.45,1.45,0
29,29.00,-19.73,-22.95,0.05,6.55,3.46,1.73,1.73,0
30,30.00,-20.34,-23.08,0.62,7.12,3.02,2.02,2.02,0
31,31.00,-21.06,-23.13,0.72,6.45,2.87,2.40,2.40,0
32,32.00,-21.74,-23.08,0.69,5.00,3.13,2.71,2.71,0
33,33.01,-22.41,-23.00,0.67,3.78,3.75,2.89,2.89,0
34,34.00,-23.05,-22.92,0.65,3.01,4.56,2.67,2.67,0
35,35.00,-23.78,-22.96,0.73,3.15,5.56,2.01,2.01,0
36,36.00,-24.36,-23.08,0.59,3.98,6.41,2.07,2.07,0
37,37.01,-24.66,-23.18,0.31,4.90,6.24,2.80,2.80,1
