step,time_s,robot_x,robot_y,speed_mps,diag_actor_dist,linear_actor_dist,triangle_actor_dist,dmin,goals_count
1,6.67,-19.51,-22.09,nan,1.76,1.17,5.21,1.17,0
2,6.67,-19.51,-22.09,nan,1.76,1.17,5.21,1.17,0
3,6.67,-19.51,-22.09,nan,1.76,3.93,5.21,1.76,0
4,6.67,-19.51,-22.09,nan,6.09,3.93,5.21,3.93,0
5,6.67,-19.51,-22.09,nan,6.09,3.93,1.03,1.03,0
6,6.67,-19.51,-22.09,0.00,6.09,3.93,1.03,1.03,0
7,7.00,-19.59,-22.09,0.25,5.52,4.53,0.88,0.88,0
8,8.00,-20.13,-21.95,0.57,5.10,3.84,1.89,1.89,0
9,9.00,-19.71,-22.13,0.46,3.68,2.63,2.36,2.36,0
10,10.00,-20.14,-22.04,0.44,3.16,2.13,3.73,2.13,0
11,11.00,-20.57,-21.82,0.48,2.65,2.11,5.19,2.11,0
12,12.00,-20.61,-21.71,0.12,1.79,2.04,4.83,1.79,0
13,13.00,-20.63,-21.69,0.03,1.04,2.35,4.14,1.04,0
14,14.00,-20.58,-21.67,0.06,0.91,2.91,3.35,0.91,0
15,15.00,-20.09,-21.89,0.53,2.12,3.62,2.47,2.12,0
16,16.00,-19.52,-21.94,0.57,3.56,4.41,2.83,2.83,0
17,17.00,-18.99,-21.74,0.57,4.93,5.08,4.17,4.17,0
18,18.00,-18.75,-21.38,0.43,6.01,5.70,5.50,5.50,0
19,19.00,-18.73,-21.31,0.08,6.98,6.62,6.40,6.40,0
20,20.00,-18.75,-21.37,0.07,7.98,7.69,7.05,7.05,0
21,21.00,-18.74,-20.68,0.70,7.11,7.99,7.44,7.11,0
22,22.00,-18.74,-19.98,0.70,6.01,8.30,7.46,6.01,0
23,23.00,-18.80,-19.30,0.68,5.02,8.52,7.41,5.02,0
24,24.00,-18.88,-18.96,0.35,4.13,7.20,7.26,4.13,0
25,25.00,-18.83,-19.53,0.58,3.22,6.76,7.23,3.22,0
26,26.00,-18.88,-19.71,0.18,2.33,5.95,6.31,2.33,0
27,27.00,-19.06,-19.99,0.33,1.43,5.35,5.28,1.43,0
28,28.00,-19.59,-20.28,0.60,1.15,4.67,3.92,1.15,0
29,29.00,-20.25,-20.42,0.67,2.40,4.19,2.56,2.40,0
30,30.00,-20.94,-20.51,0.70,3.96,3.74,1.69,1.69,0
31,31.00,-21.26,-20.58,0.33,5.24,3.35,2.00,2.00,0
32,32.00,-21.82,-20.44,0.58,6.81,3.41,3.20,3.20,0
33,33.00,-22.38,-20.21,0.60,8.41,3.90,4.66,3.90,0
34,34.00,-22.96,-19.89,0.66,10.06,4.72,6.25,4.72,0
35,35.00,-23.52,-19.51,0.68,9.82,5.85,7.89,5.85,0
36,36.00,-24.04,-19.20,0.61,9.41,6.97,9.49,6.97,0
37,37.00,-24.41,-18.99,0.43,8.84,7.99,9.53,7.99,0
38,38.00,-24.70,-18.86,0.31,8.16,8.94,9.10,8.16,0
39,39.00,-24.87,-18.86,0.17,7.32,9.66,8.37,7.32,0
