step,time_s,robot_x,robot_y,speed_mps,diag_actor_dist,linear_actor_dist,triangle_actor_dist,dmin,goals_count
1,6.67,-19.51,-22.08,nan,4.16,3.41,4.77,3.41,0
2,6.67,-19.52,-22.08,nan,4.16,3.41,4.77,3.41,0
3,6.67,-19.52,-22.08,nan,4.16,1.57,4.77,1.57,0
4,6.67,-19.52,-22.08,nan,3.62,1.57,4.77,1.57,0
5,6.67,-19.52,-22.08,nan,3.62,1.57,0.90,0.90,0
6,6.67,-19.52,-22.08,nan,3.62,1.57,0.90,0.90,0
7,7.00,-19.60,-22.09,0.25,3.07,2.17,1.08,1.08,0
8,8.00,-20.25,-22.07,0.66,2.79,3.37,2.30,2.30,0
9,9.00,-20.60,-21.95,0.37,2.23,4.24,3.61,2.23,0
10,10.00,-20.68,-21.86,0.13,1.48,5.17,4.72,1.48,0
11,11.00,-20.65,-21.82,0.05,0.97,6.04,5.12,0.97,0
12,12.00,-20.68,-21.73,0.10,1.23,6.92,4.56,1.23,0
13,13.00,-20.49,-21.76,0.19,2.22,7.84,3.64,2.22,0
14,14.00,-20.08,-21.51,0.47,3.38,8.48,3.01,3.01,0
15,15.00,-19.52,-21.11,0.69,4.72,8.96,3.33,3.33,0
16,16.00,-19.13,-20.58,0.66,5.93,9.38,4.46,4.46,0
17,17.00,-18.85,-19.97,0.67,7.07,8.75,5.82,5.82,0
18,18.00,-18.71,-19.29,0.69,7.40,7.06,7.11,7.06,0
19,19.00,-18.74,-19.34,0.05,6.43,6.11,7.72,6.11,0
20,20.00,-18.94,-19.90,0.59,5.32,5.69,7.76,5.32,0
21,21.00,-19.33,-20.38,0.62,4.04,5.24,6.90,4.04,0
22,22.00,-19.86,-20.68,0.61,2.58,4.69,6.11,2.58,0
23,23.00,-20.43,-20.66,0.57,1.04,4.00,5.53,1.04,0
24,24.00,-20.63,-20.64,0.21,0.23,3.29,5.45,0.23,0
25,25.00,-21.01,-20.40,0.44,1.62,2.82,4.66,1.62,0
26,26.00,-21.18,-20.26,0.23,2.83,2.68,3.60,2.68,0
27,27.00,-20.67,-20.58,0.61,3.21,2.21,3.24,2.21,0
28,28.00,-20.04,-20.66,0.64,3.60,2.11,3.05,2.11,0
29,29.00,-19.41,-20.55,0.63,4.08,2.74,2.98,2.74,0
30,30.00,-18.97,-20.28,0.52,4.82,3.88,2.99,2.99,0
31,31.00,-18.37,-19.95,0.69,5.48,5.21,3.37,3.37,0
32,32.00,-17.86,-19.79,0.53,5.24,6.43,3.67,3.67,0
33,33.00,-18.47,-19.71,0.62,4.82,6.50,3.81,3.81,0
34,34.00,-19.09,-19.63,0.63,4.41,5.47,4.54,4.41,0
35,35.00,-19.71,-19.80,0.64,3.83,4.41,5.45,3.83,0
36,36.00,-20.28,-20.16,0.67,3.12,3.39,5.96,3.12,0
37,37.00,-19.93,-19.91,0.43,2.10,2.60,5.47,2.10,0
38,38.00,-19.35,-19.60,0.65,1.61,1.75,5.06,1.61,0
39,39.00,-18.70,-19.41,0.68,2.28,0.78,5.02,0.78,0
40,40.00,-19.06,-19.50,0.37,2.56,0.69,5.00,0.69,0
41,41.00,-19.73,-19.69,0.70,2.65,2.01,4.92,2.01,0
42,42.00,-20.37,-19.78,0.65,2.90,3.29,5.01,2.90,0
43,43.00,-20.17,-19.81,0.20,4.03,4.06,5.68,4.03,0
44,44.00,-19.47,-19.87,0.71,5.68,4.83,6.79,4.83,0
45,45.00,-19.23,-19.88,0.24,6.90,5.77,7.50,5.77,0
46,46.00,-19.45,-19.82,0.23,6.50,6.74,7.03,6.50,0
47,47.00,-19.63,-19.53,0.34,5.34,7.47,6.68,5.34,0
48,48.00,-19.60,-19.30,0.23,4.45,8.24,6.57,4.45,0
49,49.00,-19.43,-18.84,0.49,3.85,7.66,6.72,3.85,0
50,50.00,-19.20,-18.18,0.69,3.63,5.98,6.75,3.63,0
51,51.00,-18.99,-17.56,0.66,3.77,4.33,6.51,3.77,0
52,52.00,-18.82,-17.10,0.49,4.10,2.87,6.37,2.87,0
53,53.00,-18.76,-16.75,0.35,4.55,1.54,6.29,1.54,0
54,54.00,-18.77,-16.90,0.15,4.70,0.75,5.95,0.75,0
55,55.00,-18.75,-17.09,0.19,5.00,0.44,5.73,0.44,0
56,56.00,-18.71,-17.31,0.23,5.40,1.01,5.61,1.01,0
57,57.00,-18.82,-17.50,0.21,6.03,1.81,5.64,1.81,0
58,58.00,-19.31,-17.86,0.61,6.88,2.54,5.70,2.54,0
59,59.00,-19.89,-17.97,0.59,8.12,3.55,6.34,3.55,0
60,60.00,-20.09,-17.89,0.21,7.97,4.61,7.26,4.61,0
61,61.00,-20.54,-17.53,0.58,7.62,6.01,8.27,6.01,0
62,62.00,-21.07,-17.08,0.70,7.41,7.49,8.52,7.41,0
63,63.00,-21.58,-16.59,0.70,7.23,9.01,8.68,7.23,0
64,64.00,-22.08,-16.10,0.70,7.08,10.55,8.82,7.08,0
65,65.00,-22.58,-15.62,0.70,6.96,11.04,8.99,6.96,0
66,66.00,-23.08,-15.13,0.70,6.87,10.77,9.22,6.87,0
67,67.00,-23.57,-14.64,0.70,6.80,10.58,9.52,6.80,0
68,68.00,-24.07,-14.15,0.70,6.77,10.45,9.89,6.77,0
69,69.00,-24.37,-13.78,0.48,6.60,10.12,10.20,6.60,0
70,70.00,-24.43,-13.71,0.10,6.15,9.46,10.27,6.15,0
71,71.00,-24.47,-13.69,0.04,5.76,8.78,9.45,5.76,0
72,72.00,-24.46,-13.68,0.01,5.50,8.11,8.49,5.50,0
73,73.00,-24.46,-13.67,0.01,5.39,7.52,7.54,5.39,0
74,74.00,-24.45,-13.67,0.01,5.44,7.02,6.60,5.44,0
75,75.00,-24.45,-13.66,0.01,5.66,6.64,6.47,5.66,0
76,76.00,-24.45,-13.66,0.00,6.02,6.38,6.80,6.02,0
77,77.00,-24.45,-13.65,0.01,6.52,6.28,7.25,6.28,0
78,78.00,-24.45,-13.65,0.00,7.11,6.33,7.80,6.33,0
79,79.00,-24.48,-13.63,0.04,7.82,6.56,8.46,6.56,0
80,80.00,-24.50,-13.61,0.03,8.59,6.92,9.18,6.92,0
81,81.00,-24.50,-13.61,0.01,9.38,6.84,9.94,6.84,0
82,82.00,-24.51,-13.60,0.01,10.22,6.54,10.73,6.54,0
83,83.00,-24.86,-13.43,0.39,11.42,6.71,11.83,6.71,0
84,84.00,-25.46,-13.29,0.62,12.84,7.33,13.12,7.33,0
85,85.00,-26.06,-13.43,0.61,14.09,8.04,14.28,8.04,0
86,86.00,-26.58,-13.77,0.62,15.23,8.67,14.98,8.67,0
87,87.00,-26.99,-14.12,0.54,16.31,9.22,14.48,9.22,0
88,88.00,-27.36,-14.50,0.53,15.61,9.73,13.75,9.73,0
89,89.00,-27.63,-15.09,0.65,14.54,10.11,12.68,10.11,0
90,90.00,-27.65,-15.76,0.67,13.23,10.22,11.31,10.22,0
91,91.00,-27.50,-16.41,0.68,11.79,10.20,9.83,9.83,0
92,92.00,-27.28,-17.07,0.69,10.31,10.12,8.39,8.39,0
93,93.00,-27.11,-17.75,0.69,8.89,10.08,7.09,7.09,0
94,94.00,-27.01,-18.43,0.69,7.54,10.08,5.97,5.97,0
95,95.00,-26.97,-18.80,0.38,6.39,10.34,5.33,5.33,0
96,96.00,-26.97,-18.97,0.17,5.34,10.81,4.31,4.31,1
97,97.00,-26.97,-19.11,0.13,4.32,10.57,3.22,3.22,1
98,98.00,-27.17,-19.68,0.61,3.49,9.86,1.90,1.90,1
99,99.00,-27.21,-20.27,0.59,2.76,9.24,1.19,1.19,1
100,100.00,-27.13,-20.98,0.71,2.53,8.71,1.67,1.67,1
101,101.00,-26.91,-21.54,0.60,2.88,8.33,2.30,2.30,1
102,102.00,-26.52,-22.11,0.69,3.24,8.05,2.80,2.80,1
103,103.00,-26.07,-22.63,0.69,3.58,8.00,3.22,3.22,1
104,104.00,-25.51,-23.04,0.69,3.80,8.10,3.52,3.52,1
105,105.00,-24.92,-23.41,0.70,4.01,8.42,3.77,3.77,1
106,106.00,-24.30,-23.74,0.70,4.19,8.93,4.01,4.01,1
107,107.00,-23.70,-23.94,0.63,4.31,9.53,4.25,4.25,1
108,108.00,-23.48,-23.99,0.23,4.62,10.32,4.85,4.62,1
109,109.00,-23.37,-24.01,0.11,5.11,11.18,5.60,5.11,1
110,110.00,-23.33,-24.02,0.04,5.76,12.08,6.46,5.76,1
111,111.00,-23.31,-24.02,0.02,6.50,13.00,7.10,6.50,1
112,112.00,-23.31,-24.01,0.01,7.32,13.95,6.40,6.40,1
113,113.00,-23.31,-24.01,0.00,8.17,13.66,5.46,5.46,1
114,114.00,-23.31,-24.00,0.00,9.05,12.71,4.34,4.34,1
115,115.00,-23.30,-24.00,0.01,9.72,11.78,3.12,3.12,1
116,116.00,-23.30,-23.99,0.01,8.82,10.85,1.86,1.86,1
117,117.00,-23.30,-23.99,0.00,7.93,9.95,0.63,0.63,1
118,118.00,-23.29,-23.97,0.02,7.07,9.06,0.52,0.52,2
119,119.00,-23.28,-23.95,0.03,6.24,8.21,1.48,1.48,2
120,120.00,-23.25,-23.94,0.03,5.47,7.38,2.22,2.22,2
121,121.00,-23.25,-23.94,0.00,4.82,6.62,2.58,2.58,2
122,122.00,-23.25,-23.94,0.00,4.29,5.94,3.12,3.12,2
