sequence,timestamp,lidar_min,lidar_max,lidar_mean,lidar_std,pose_min,pose_max,pose_mean,pose_std,imu_min,imu_max,imu_mean,imu_std,target_min,target_max,target_mean,target_std
1,1732071502017,0.008973585441708565,0.009965450502932072,0.009780379943549633,0.0003019648720510304,-0.005084954667836428,0.0010341942543163896,-0.0013450052356347442,0.003278677584603429,-0.003853348782286048,-1.298809252148203e-06,-0.0012888195924460888,0.002220953581854701,0.00939610693603754,0.009966794401407242,0.009681450203061104,0.0004035369784105569
2,1732071502255,0.0063452525064349174,0.007046636659651995,0.006915766280144453,0.0002135305549018085,-0.0035955391358584166,0.0007312676752917469,-0.0009510460658930242,0.0023183305747807026,-0.0027246710378676653,-9.183738711726619e-07,-0.0009113136911764741,0.0015704178949818015,0.006644031498581171,0.0070475866086781025,0.006845809053629637,0.00028535653837025166
3,1732071502259,0.0051808347925543785,0.005753553006798029,0.0056466893292963505,0.00017435931658837944,-0.002935654716566205,0.0005970529746264219,-0.0007765040500089526,0.0018928481731563807,-0.0022246057633310556,-7.498179002141114e-07,-0.0007440580520778894,0.0012821955606341362,0.005424802657216787,0.005754328798502684,0.0055895657278597355,0.000233010170632042
4,1732071502261,0.0044866944663226604,0.004982721526175737,0.0048901671543717384,0.00015101137978490442,-0.002542265225201845,0.0005170396179892123,-0.0006724513950757682,0.0016391967656090856,-0.0019264898728579283,-6.493315822808654e-07,-0.0006443480961024761,0.0011103705037385225,0.004697991535067558,0.0049833934754133224,0.00484069250524044,0.00020180964202154428
5,1732071502264,0.004012984689325094,0.00445668026804924,0.004373890347778797,0.00013507962285075337,-0.002273791003972292,0.00046243256656453013,-0.000601439387537539,0.0014660885790362954,-0.0017230352386832237,-5.80752271162055e-07,-0.000576299149543047,0.000993105466477573,0.004201988223940134,0.004457280971109867,0.004329634830355644,0.0001805192296160385
6,1732071502267,0.0036633023992180824,0.004068372305482626,0.003992789424955845,0.0001233203656738624,-0.0028413247782737017,0.005465591326355934,0.0010893107391893864,0.004171350505203009,-0.0015728441067039967,-5.301262717694044e-07,-0.0005260650650598109,0.0009065397898666561,0.003952430561184883,0.004750452935695648,0.004351441748440266,0.0005642870673909783
7,1732071502270,0.003391526872292161,0.0037665795534849167,0.0036965974140912294,0.00011418194480938837,-0.00263042701408267,0.005059961695224047,0.0010084747336804867,0.003861759789288044,-0.0014561101561412215,-4.907776087748061e-07,-0.000487021345179528,0.0008392579038627446,0.003659218782559037,0.00439806142821908,0.00402864022180438,0.000522440648637712
8,1732071502272,0.003172452561557293,0.0035233113449066877,0.0034578428603708744,0.0001068163473973982,-0.0024604187346994877,0.004732982255518436,0.000943313236348331,0.003612196771427989,-0.0013620094396173954,-4.590578726038075e-07,-0.0004555477062240243,0.0007850210531614721,0.003422865876927972,0.004114007111638784,0.0037684366106987,0.0004887106479145586
9,1732071502275,0.0029909880831837654,0.0033218087628483772,0.0032600790727883577,0.00010071588621940464,-0.0023195911198854446,0.004462130833417177,0.0008893376216292381,0.0034054715652018785,-0.001284060999751091,-4.32782599091297e-07,-0.00042947649490088224,0.0007400939939543605,0.003227089997380972,0.0038787208031862974,0.003552905283868313,0.00046077254228293896
10,1732071502277,0.0028374732937663794,0.003151343436911702,0.0030927767511457205,9.555551514495164e-05,-0.002200449351221323,0.004232990089803934,0.0008436747593805194,0.003230581060051918,-0.0012181159108877182,-4.1055335486817057e-07,-0.0004074200405739248,0.0007020852062851191,0.0030614687129855156,0.0036796757485717535,0.0033705723471939564,0.0004371383984107524
11,1732071502280,0.0027053984813392162,0.003004687139764428,0.0029488408472388983,9.111630788538605e-05,-0.002097942866384983,0.004035846795886755,0.0008043884299695492,0.0030801116954535246,-0.0011613790411502123,-3.9142787500168197e-07,-0.0003884433535858989,0.0006693837931379676,0.0029189789202064276,0.0035084313713014126,0.0032137050293385983,0.0004168058221694082
12,1732071502283,0.002590196905657649,0.0028767678886651993,0.002823294373229146,8.724457438802347e-05,-0.002008528681471944,0.003863884834572673,0.0007701206486672163,0.00294886133633554,-0.0011118887923657894,-3.7474509895218944e-07,-0.00037189049180597067,0.0006408591289073229,0.002794693224132061,0.003359065856784582,0.0030768795404583216,0.00039907172322273254
13,1732071502285,0.0024885565508157015,0.0027639081235975027,0.0027125279884785414,8.382894156966358e-05,-0.10562383383512497,0.05059529095888138,-0.01844603195786476,0.07967309653759003,-0.0010682230349630117,-3.600255809033115e-07,-0.0003572857240214944,0.0006156914751045406,-0.007006172090768814,0.0011101611889898777,-0.002948005450889468,0.005739114247262478
14,1732071502321,-3.5985512733459473,3.60534930229187,0.09165535122156143,0.3994854688644409,-0.43443214893341064,0.20903140306472778,-0.09454285353422165,0.3232652544975281,-0.217290997505188,0.37699639797210693,0.16940805315971375,0.3351937532424927,-0.1339612603187561,-0.0381506085395813,-0.0860559344291687,0.06774836033582687
15,1732071502371,-2.9070303440093994,3.7415931224823,0.14027242362499237,0.4999288320541382,-0.5327042937278748,0.2653917968273163,-0.10567771643400192,0.4019797742366791,-0.059972524642944336,0.5123888850212097,0.16122004389762878,0.3075219690799713,-0.19798332452774048,-0.04844403266906738,-0.12321367859840393,0.1057402491569519
16,1732071502427,-3.872530698776245,2.6457314491271973,0.1659628003835678,0.5898756980895996,-0.021181516349315643,0.0028739538975059986,-0.011055363342165947,0.012470543384552002,-0.38362547755241394,0.6874212622642517,0.21078960597515106,0.5451513528823853,-0.26004356145858765,0.001421867636963725,-0.12931084632873535,0.1848839819431305
17,1732071502479,-2.738624334335327,1.802749752998352,0.07517539709806442,0.3404286503791809,-0.4158802926540375,0.71090167760849,0.10409291088581085,0.5683878064155579,0.03376443311572075,0.38822901248931885,0.17232155799865723,0.18946923315525055,-0.1373017579317093,0.07529690861701965,-0.031002424657344818,0.15032996237277985
18,1732071502530,-2.236128330230713,0.9189695119857788,0.03445520997047424,0.25594380497932434,-0.4664468765258789,0.8379828333854675,0.128400057554245,0.6597404479980469,-0.0001475238532293588,0.2384513020515442,0.10105417668819427,0.12334882467985153,-0.07773011177778244,0.0881776213645935,0.005223754793405533,0.11731448769569397
19,1732071502576,-1.936460018157959,0.696875810623169,0.023503964766860008,0.20298054814338684,-0.3871554434299469,0.6776620745658875,0.10164355486631393,0.5377402305603027,-0.1191709116101265,0.22179760038852692,0.09123727679252625,0.18397457897663116,-0.054301682859659195,0.07299654930830002,0.009347433224320412,0.09001344442367554
