Timestamp,Total Collisions,Current Collision Status,Smoothness Metric,Current Smoothness,Obstacle Clearance,Distance Traveled,Current Velocity,IMU Acceleration Magnitude,Is Rough Terrain,Notes
1736122080,0,0,248.3399,12.417,2.4885,0.5422,0.5025,13.7426,0,Normal operation
1736122081,0,0,534.9332,13.3733,2.4336,0.9618,0.4426,18.6887,1,Normal operation
1736122082,0,0,777.7721,12.9629,2.3633,1.377,0.3909,9.7954,0,Normal operation
1736122083,0,0,994.7513,12.4344,2.3006,1.7507,0.3833,15.656,1,Normal operation
1736122084,0,0,1200.191,12.0019,2.1964,1.9299,0.2698,5.1299,0,Normal operation
1736122085,0,0,1397.4457,11.4911,2.1579,2.1453,0.1856,14.0751,0,Normal operation
1736122086,0,0,1621.4674,10.8653,2.1499,2.4083,0.2248,11.4107,0,Normal operation
1736122087,0,0,1828.0463,10.5027,2.1489,2.6207,0.2281,9.847,0,Normal operation
1736122088,0,0,2032.9617,10.3821,2.1603,2.6661,0.1226,9.8693,0,Normal operation
1736122089,0,0,2239.3697,10.3918,2.2536,2.8292,0.0909,9.7166,0,Normal operation
1736122090,0,0,2451.781,10.5434,2.2623,2.9584,0.1317,9.6569,0,Normal operation
1736122091,0,0,2654.818,10.3335,2.2604,3.1154,0.1361,9.6272,0,Normal operation
1736122092,0,0,2860.4875,10.3244,2.2975,3.3649,0.1944,14.3656,0,Normal operation
1736122093,0,0,3104.4051,10.7144,2.3541,3.872,0.3678,8.5561,0,Normal operation
1736122094,0,0,3355.3786,11.1601,2.3954,4.3378,0.4736,9.1136,0,Normal operation
1736122095,0,0,3582.2556,11.3047,2.3853,4.5194,0.31,8.3661,0,Normal operation
1736122096,0,0,3802.9651,11.4815,2.3868,4.7427,0.1832,7.2339,0,Normal operation
1736122097,0,0,4028.9443,11.6846,2.3071,5.4494,0.4435,11.865,0,Normal operation
1736122098,0,0,4237.4439,11.3304,2.1922,5.5762,0.4002,9.6611,0,Normal operation
1736122099,0,0,4429.1552,10.8341,2.0857,5.7088,0.1166,9.719,0,Normal operation
1736122100,0,0,4630.1018,10.5666,1.9979,5.9291,0.156,9.1863,0,Normal operation
1736122101,0,0,4868.8251,10.7358,1.902,6.0693,0.1622,9.6292,0,Normal operation
1736122102,0,0,5083.2152,10.6658,1.8714,6.1492,0.103,10.0476,0,Normal operation
1736122103,0,0,5312.9805,10.8553,1.8701,6.2489,0.0815,8.4231,0,Normal operation
1736122104,0,0,5592.9828,11.6383,1.8678,6.3622,0.0966,9.7095,0,Normal operation
1736122105,0,0,5839.6865,12.0958,1.8811,6.4697,0.1015,9.4801,0,Normal operation
1736122106,0,0,6078.6508,12.0983,1.8865,6.5838,0.0977,9.7826,0,Normal operation
1736122107,0,0,6366.4886,12.8327,1.8864,6.7292,0.112,11.2601,0,Normal operation
1736122108,0,0,6573.1108,12.6013,1.8835,6.9051,0.1399,10.7248,0,Normal operation
1736122109,0,0,6795.3657,12.0238,1.8673,7.0444,0.137,4.203,0,Normal operation
1736122110,0,0,7093.162,12.5348,1.8491,7.2425,0.1488,8.2448,0,Normal operation
1736122111,0,0,7300.9987,12.2235,1.8405,7.4184,0.1681,17.1355,1,Normal operation
1736122112,0,0,7485.9302,11.1944,1.8386,7.5623,0.1385,8.0158,0,Normal operation
1736122113,0,0,7680.9019,11.0779,1.8329,7.6525,0.1011,9.7401,0,Normal operation
1736122114,0,0,7918.0976,11.2273,1.8324,7.7678,0.0895,7.9703,0,Normal operation
1736122115,0,0,8196.1465,11.0298,1.8427,7.8824,0.0997,48.2941,1,Normal operation
1736122116,0,0,8489.6361,11.8864,1.8576,7.9771,0.0939,9.7112,0,Normal operation
1736122117,0,0,8745.2685,12.5934,1.8728,8.0664,0.0821,9.7382,0,Normal operation
1736122118,0,0,8964.0432,12.8314,1.8922,8.1512,0.0776,10.069,0,Normal operation
1736122119,0,0,9151.6496,12.4171,1.9052,8.2458,0.0817,9.5817,0,Normal operation
1736122120,0,0,9394.0615,12.4683,1.8965,8.3428,0.0903,45.6636,1,Normal operation
1736122121,0,0,9592.046,11.126,1.8734,8.4935,0.1138,9.2514,0,Normal operation
1736122122,0,0,9812.3709,10.7721,1.8479,8.6011,0.1173,8.2507,0,Normal operation
1736122123,0,0,10015.0645,10.6168,1.8245,8.701,0.0936,8.3017,0,Normal operation
1736122124,0,0,10251.5149,10.9987,1.8116,8.8502,0.1082,10.0792,0,Normal operation
1736122125,0,0,10496.1091,11.0205,1.8056,8.9815,0.121,10.2106,0,Normal operation
1736122126,0,0,10743.33,11.5128,1.8032,9.1182,0.1192,10.6348,0,Normal operation
1736122127,0,0,10941.3762,11.2901,1.812,9.2494,0.1178,5.2543,0,Normal operation
1736122128,0,0,11188.8266,11.9769,1.8276,9.3405,0.0893,0.0,0,Normal operation
1736122129,0,0,11303.6558,10.8284,2.073,10.4199,0.0758,16.4483,1,Normal operation
1736122130,0,0,11950.6203,14.8605,2.0424,10.9156,0.2026,9.9324,0,Normal operation
1736122131,0,0,12181.4725,14.6758,2.0987,11.2679,0.2758,12.5536,0,Normal operation
1736122132,0,0,12376.7727,14.6637,2.3078,11.5665,0.2496,11.1739,0,Normal operation
1736122133,0,0,12610.0944,14.2127,2.366,12.3019,0.4936,21.4354,1,Normal operation
1736122134,0,0,12851.8956,15.4824,2.0423,12.5423,0.4619,9.7293,0,Normal operation
1736122135,0,0,13149.7168,11.991,2.0142,12.8638,0.2637,36.1992,1,Normal operation
1736122136,0,0,13353.5585,11.7209,1.9793,13.1723,0.289,10.1778,0,Normal operation
1736122137,0,0,13548.1759,11.8302,1.7722,13.4057,0.238,12.2844,0,Normal operation
1736122138,0,0,13778.0645,11.9021,1.7159,13.7919,0.2876,13.2571,0,Normal operation
1736122139,0,0,14032.0527,11.9022,1.8549,14.2989,0.4286,25.8508,1,Normal operation
1736122140,0,0,14246.7396,11.341,1.9791,14.8747,0.521,8.9606,0,Normal operation
1736122141,0,0,14461.057,11.1778,2.0262,15.0184,0.3471,10.4156,0,Normal operation
1736122142,0,0,14794.8548,12.4668,2.0682,15.1646,0.1335,13.1499,0,Normal operation
1736122143,0,0,14998.5264,12.2046,2.1167,15.2981,0.123,9.6074,0,Normal operation
1736122144,0,0,15248.5439,12.1649,2.087,15.3984,0.1035,10.2633,0,Normal operation
1736122145,0,0,15467.358,12.2062,2.0436,15.4556,0.0699,9.7629,0,Normal operation
1736122146,0,0,15666.2011,12.0514,2.0213,15.5299,0.0622,9.7999,0,Normal operation
1736122147,0,0,15801.1365,10.3083,2.0397,15.7936,0.043,9.5367,0,Normal operation
1736122148,0,0,16013.4905,10.3707,2.0776,16.0663,0.1194,13.5781,0,Normal operation
1736122149,0,0,16183.6604,9.9878,2.0698,16.5693,0.3521,10.9581,0,Normal operation
