sequence,timestamp,lidar_min,lidar_max,lidar_mean,lidar_std,pose_min,pose_max,pose_mean,pose_std,imu_min,imu_max,imu_mean,imu_std,target_min,target_max,target_mean,target_std
1,1732382292314,2.015,12.0,7.305,3.49,-0.013,0.011,-0.0,0.012,-0.001,0.025,0.008,0.014,2.331,12.711,7.521,7.34
2,1732382292549,2.015,12.0,7.305,3.49,-0.013,0.011,-0.0,0.012,-0.001,0.025,0.008,0.014,2.331,12.711,7.521,7.34
3,1732382292555,2.015,12.0,7.305,3.49,-0.013,0.011,-0.0,0.012,-0.001,0.025,0.008,0.014,2.331,12.711,7.521,7.34
4,1732382292559,2.015,12.0,7.305,3.49,-0.013,0.011,-0.0,0.012,-0.001,0.025,0.008,0.015,2.331,12.711,7.521,7.34
5,1732382292564,2.015,12.0,7.305,3.49,-0.013,0.011,-0.0,0.012,-0.001,0.025,0.008,0.015,2.331,12.711,7.521,7.34
6,1732382292568,2.015,12.0,7.305,3.49,-0.013,0.011,-0.0,0.012,-0.001,0.025,0.008,0.015,2.331,12.711,7.521,7.34
7,1732382292572,2.015,12.0,7.305,3.49,-0.013,0.011,-0.0,0.012,-0.001,0.025,0.008,0.015,2.331,12.711,7.521,7.34
8,1732382292577,2.015,12.0,7.305,3.49,-0.013,0.011,-0.0,0.012,-0.001,0.025,0.008,0.015,2.331,12.711,7.521,7.34
9,1732382292581,2.015,12.0,7.305,3.49,-0.013,0.011,-0.0,0.012,-0.001,0.025,0.008,0.014,2.331,12.711,7.521,7.34
10,1732382292585,2.015,12.0,7.305,3.49,-0.013,0.011,-0.0,0.012,-0.001,0.025,0.008,0.014,2.331,12.711,7.521,7.34
11,1732382292589,2.015,12.0,7.305,3.49,-0.013,0.011,-0.0,0.012,-0.001,0.025,0.008,0.014,2.331,12.711,7.521,7.34
12,1732382292593,2.015,12.0,7.305,3.49,-0.012,0.011,0.0,0.011,-0.001,0.025,0.008,0.014,2.331,12.712,7.522,7.34
13,1732382292598,2.015,12.0,7.305,3.49,-0.012,0.011,0.0,0.011,-0.001,0.025,0.008,0.014,2.331,12.712,7.522,7.34
14,1732382292617,2.015,12.0,7.296,3.491,-0.011,0.011,0.0,0.011,-0.001,0.025,0.008,0.014,2.332,12.713,7.522,7.341
15,1732382292669,2.015,12.0,7.295,3.488,-0.008,0.011,0.002,0.009,-0.0,0.025,0.008,0.014,2.332,12.715,7.523,7.342
16,1732382292720,2.015,12.0,7.295,3.488,-0.007,0.011,0.002,0.009,0.0,0.025,0.008,0.014,2.332,12.716,7.524,7.343
17,1732382292773,2.015,12.0,7.294,3.488,-0.003,0.011,0.003,0.007,-0.001,0.024,0.008,0.014,2.333,12.718,7.526,7.344
18,1732382292824,2.015,12.0,7.294,3.488,-0.003,0.011,0.003,0.007,-0.001,0.024,0.008,0.014,2.333,12.718,7.526,7.344
19,1732382292873,2.015,12.0,7.294,3.488,-0.002,0.011,0.003,0.007,-0.001,0.024,0.008,0.014,2.333,12.719,7.526,7.344
