sequence,timestamp,lidar_min,lidar_max,lidar_mean,lidar_std,pose_min,pose_max,pose_mean,pose_std,imu_min,imu_max,imu_mean,imu_std,target_min,target_max,target_mean,target_std
1,1732383565667,2.985,12.0,7.636,3.177,-0.317,1.155,0.28,0.775,-1.372,0.001,-0.457,0.792,-2.505,11.702,4.599,10.045
2,1732383565904,2.985,12.0,7.636,3.177,-0.317,1.155,0.28,0.775,-1.372,0.001,-0.457,0.792,-2.505,11.702,4.599,10.045
3,1732383565908,2.985,12.0,7.636,3.177,-0.317,1.155,0.28,0.775,-1.372,0.001,-0.457,0.792,-2.505,11.702,4.599,10.045
4,1732383565911,2.985,12.0,7.636,3.177,-0.317,1.155,0.28,0.775,-1.372,0.001,-0.457,0.792,-2.505,11.702,4.599,10.045
5,1732383565913,2.985,12.0,7.636,3.177,-0.317,1.155,0.28,0.775,-1.372,0.001,-0.457,0.792,-2.505,11.702,4.599,10.045
6,1732383565916,2.985,12.0,7.636,3.177,-0.317,1.155,0.28,0.775,-1.372,0.001,-0.457,0.792,-2.505,11.702,4.599,10.045
7,1732383565919,2.985,12.0,7.636,3.177,-0.317,1.155,0.28,0.775,-1.372,0.001,-0.457,0.792,-2.505,11.702,4.599,10.045
8,1732383565923,2.985,12.0,7.636,3.177,-0.317,1.155,0.28,0.775,-1.372,0.001,-0.457,0.792,-2.505,11.702,4.599,10.045
9,1732383565925,2.985,12.0,7.636,3.177,-0.317,1.155,0.28,0.775,-1.372,0.001,-0.457,0.792,-2.505,11.702,4.599,10.045
10,1732383565927,2.985,12.0,7.636,3.177,-0.317,1.155,0.28,0.775,-1.372,0.001,-0.457,0.792,-2.505,11.702,4.599,10.045
11,1732383565930,2.985,12.0,7.636,3.177,-0.317,1.156,0.28,0.775,-1.372,0.001,-0.457,0.792,-2.505,11.701,4.598,10.045
12,1732383565934,2.985,12.0,7.636,3.177,-0.317,1.156,0.28,0.775,-1.372,0.001,-0.457,0.792,-2.505,11.701,4.598,10.045
13,1732383565938,2.985,12.0,7.636,3.177,-0.317,1.156,0.28,0.775,-1.372,0.001,-0.457,0.792,-2.505,11.701,4.598,10.045
