sequence,timestamp,concat_min,concat_max,concat_mean,concat_std
1,1732383565667,0.0,2.128,0.369,0.538
2,1732383565904,0.0,2.128,0.369,0.538
3,1732383565908,0.0,2.128,0.369,0.538
4,1732383565911,0.0,2.128,0.369,0.538
5,1732383565913,0.0,2.128,0.369,0.538
6,1732383565916,0.0,2.128,0.369,0.538
7,1732383565919,0.0,2.128,0.369,0.538
8,1732383565923,0.0,2.128,0.369,0.538
9,1732383565925,0.0,2.128,0.369,0.538
10,1732383565927,0.0,2.128,0.369,0.538
11,1732383565930,0.0,2.128,0.369,0.538
12,1732383565934,0.0,2.128,0.369,0.538
13,1732383565938,0.0,2.128,0.369,0.538
14,1732383565975,0.0,2.185,0.368,0.538
15,1732383566024,0.0,2.23,0.372,0.541
16,1732383566073,0.0,2.256,0.373,0.544
17,1732383566131,0.0,2.348,0.377,0.549
18,1732383566181,0.0,2.212,0.372,0.542
19,1732383566226,0.0,2.087,0.371,0.533
20,1732383566280,0.0,2.061,0.372,0.533
21,1732383566332,0.0,2.061,0.38,0.544
22,1732383566381,0.0,2.003,0.378,0.538
23,1732383566431,0.0,2.097,0.365,0.542
24,1732383566480,0.0,2.114,0.365,0.545
25,1732383566529,0.0,2.096,0.365,0.542
26,1732383566581,0.0,1.996,0.366,0.543
27,1732383566635,0.0,1.94,0.368,0.537
28,1732383566683,0.0,1.989,0.37,0.537
29,1732383566733,0.0,2.103,0.365,0.539
30,1732383566785,0.0,2.114,0.367,0.532
31,1732383566837,0.0,2.16,0.364,0.537
32,1732383566884,0.0,2.018,0.36,0.542
33,1732383566934,0.0,1.96,0.356,0.537
34,1732383566985,0.0,1.876,0.346,0.526
35,1732383567033,0.0,1.974,0.35,0.526
36,1732383567083,0.0,2.087,0.353,0.525
37,1732383567133,0.0,2.085,0.352,0.522
38,1732383567179,0.0,2.046,0.355,0.526
39,1732383567229,0.0,1.972,0.355,0.521
40,1732383567288,0.0,1.916,0.356,0.517
41,1732383567331,0.0,1.974,0.354,0.517
42,1732383567388,0.0,1.925,0.352,0.51
43,1732383567437,0.0,1.839,0.358,0.514
44,1732383567485,0.0,1.858,0.358,0.515
45,1732383567537,0.0,1.937,0.356,0.515
46,1732383567588,0.0,1.988,0.351,0.511
47,1732383567636,0.0,1.922,0.354,0.517
48,1732383567687,0.0,1.977,0.355,0.522
49,1732383567738,0.0,2.069,0.355,0.526
50,1732383567781,0.0,1.974,0.356,0.525
51,1732383567841,0.0,2.055,0.355,0.53
52,1732383567889,0.0,1.971,0.356,0.519
53,1732383567940,0.0,1.931,0.354,0.514
54,1732383567988,0.0,1.939,0.354,0.515
55,1732383568040,0.0,1.92,0.355,0.514
