sequence,timestamp,concat_min,concat_max,concat_mean,concat_std
1,1732111607294,0.0,19.50824737548828,0.4577147960662842,1.8794739246368408
2,1732111607537,0.0,19.50824737548828,0.4577147960662842,1.8794739246368408
3,1732111607542,0.0,19.50824737548828,0.4577147960662842,1.8794739246368408
4,1732111607546,0.0,19.50824737548828,0.4577147960662842,1.8794739246368408
5,1732111607550,0.0,19.50824737548828,0.4577147960662842,1.8794739246368408
6,1732111607554,0.0,19.508502960205078,0.45771655440330505,1.8795000314712524
7,1732111607558,0.0,19.508502960205078,0.45771655440330505,1.8795000314712524
8,1732111607563,0.0,19.508502960205078,0.45771655440330505,1.8795000314712524
9,1732111607569,0.0,19.508502960205078,0.45771655440330505,1.8795000314712524
10,1732111607573,0.0,19.508743286132812,0.4577181935310364,1.8795243501663208
11,1732111607577,0.0,19.508743286132812,0.4577181935310364,1.8795243501663208
12,1732111607582,0.0,19.508743286132812,0.4577181935310364,1.8795243501663208
13,1732111607586,0.0,19.508743286132812,0.45772862434387207,1.8795247077941895
14,1732111607630,0.0,19.507596969604492,0.4569089710712433,1.878697156906128
15,1732111607678,0.0,19.510295867919922,0.45772600173950195,1.879684567451477
16,1732111607732,0.0,19.510150909423828,0.4577396512031555,1.8796789646148682
17,1732111607781,0.0,19.50922393798828,0.45799726247787476,1.8793402910232544
18,1732111607839,0.0,19.51161766052246,0.45516878366470337,1.8791248798370361
19,1732111607882,0.0,19.515026092529297,0.4552733898162842,1.8792222738265991
20,1732111607939,0.0,19.517107009887695,0.4548586905002594,1.8791793584823608
21,1732111608095,0.0,19.518798828125,0.4540765881538391,1.879267930984497
22,1732111608100,0.0,19.518798828125,0.4540702998638153,1.879267692565918
23,1732111608104,0.0,19.51894760131836,0.45407429337501526,1.8792818784713745
24,1732111608132,0.0,19.51868438720703,0.4548718333244324,1.8793315887451172
25,1732111608189,0.0,19.51871681213379,0.45487892627716064,1.8793365955352783
26,1732111608240,0.0,19.518421173095703,0.45406374335289,1.8792263269424438
27,1732111608288,0.0,19.516952514648438,0.45433366298675537,1.8791751861572266
