step,time_s,rx,ry,speed_mps,d1_lower,d2_upper,dmin,goals
1,1758728773.8486996,-7.715608855466525,-2.3064091828443765,nan,0.903284141838717,4.765859162591823,0.903284141838717,0
2,1758728774.8510134,-7.873859839986999,-2.6401842408105445,0.36853751758367853,0.6012191327024511,5.696726736386827,0.6012191327024511,0
3,1758728775.8435183,-7.784125174894591,-3.048443509873903,0.4211613880036025,0.7891554464673116,6.656251579844044,0.7891554464673116,0
4,1758728776.8466477,-7.5944359781070645,-3.4085697966234165,0.4057595841990395,1.2283779627699973,7.616668783807384,1.2283779627699973,0
5,1758728777.8508065,-7.548082270067952,-3.4659578526136596,0.07346476631709216,1.7441095443378716,8.418888488640215,1.7441095443378716,0
6,1758728778.8505,-7.516235149979195,-3.38201620139756,0.0898074665999622,2.4667421213528127,7.8725674749455035,2.4667421213528127,0
7,1758728779.8467724,-7.520298035611589,-3.0880186792307116,0.2951257269017542,3.233186726349743,6.930740333281855,3.233186726349743,0
8,1758728780.8482857,-7.621760268113561,-2.9591610970314153,0.16376091266902165,4.306688240540205,6.053590017323235,4.306688240540205,0
9,1758728781.8447473,-7.743463917572124,-2.856507949231785,0.15978045919095912,5.394788798971329,5.184690596432056,5.184690596432056,0
10,1758728782.8501117,-7.749055719574836,-2.839262648750753,0.01803248676852448,6.462276745436774,4.2234874578817525,4.2234874578817525,0
11,1758728783.844056,-8.06399006793645,-2.596142108842212,0.40028236006237533,7.404015847357766,3.672617177029721,3.672617177029721,0
12,1758728784.8438087,-8.247634011160935,-2.1693813739685663,0.4647113036695124,7.932423622688983,3.4440110652679317,3.4440110652679317,0
13,1758728785.8434012,-8.166482737808458,-1.6709012241408583,0.5052484286990772,7.250342118990257,3.6328579665536025,3.6328579665536025,0
14,1758728786.8431897,-7.823782174823106,-1.2007345261847406,0.5819309370136141,5.8051707809728335,4.186488913322288,4.186488913322288,0
15,1758728787.8429437,-7.51485578655673,-0.6836136053381954,0.6025182012723221,4.36663223785553,5.117514678059223,4.36663223785553,0
16,1758728788.8427703,-7.273028498420776,-0.147642791068686,0.5881029148299973,3.0337230515761453,6.105614653331545,3.0337230515761453,0
17,1758728789.8469868,-7.020570279003831,0.3951501268620717,0.5961177021312065,1.8971283311597613,6.330900643487712,1.8971283311597613,0
18,1758728790.843252,-6.719720885959221,0.8081565042932596,0.5128799246878316,1.3180470073140127,6.0115408089763855,1.3180470073140127,1
19,1758728791.8471744,-6.661641367985234,0.799925109869645,0.05843072807022314,1.5588597841054908,5.263844797862712,1.5588597841054908,1
20,1758728792.8500488,-6.83564315377948,0.9235333077053003,0.21282585632130072,2.2862543789609515,4.81550652544338,2.2862543789609515,1
21,1758728793.8463335,-6.9372588896103204,0.9735301260510526,0.11367177956800145,3.049426755312349,4.379748517162971,3.049426755312349,1
22,1758728794.8429847,-7.390002108890301,1.1390400128651637,0.4836673772252774,3.8570599818802473,4.436037682827739,3.8570599818802473,1
23,1758728795.8460805,-7.767815612078638,1.444232351220222,0.4841813939778211,3.807199283014279,4.776907431677042,3.807199283014279,1
24,1758728796.8456821,-7.835029279093399,1.8532904484122723,0.41470858679243044,3.6801566438279174,5.035897005696914,3.6801566438279174,1
25,1758728797.850087,-7.734149745321784,1.8912858314910683,0.10732488914685374,3.191966991081998,5.066085086500999,3.191966991081998,1
26,1758728798.8473947,-7.466013050716689,1.6357488799194926,0.3714002439267811,2.469703700896844,5.033891853496519,2.469703700896844,1
27,1758728799.84718,-7.338319098250311,1.1764464769267775,0.4768250350476944,2.193535997501021,5.357608501216289,2.193535997501021,1
28,1758728800.8468657,-7.425004439131535,0.558479525549567,0.6242133785024563,3.0013056596102032,6.152275924566558,3.0013056596102032,1
29,1758728801.8524535,-7.611015104036773,0.041331863701852954,0.5465292747293938,4.192906183025064,6.15512983529364,4.192906183025064,1
30,1758728802.8468554,-8.500447888153012,-0.5217252290061836,1.0586007924407679,5.989503848284114,6.717008454553342,5.989503848284114,1
31,1758728803.846334,-8.501273027918442,-0.5620433808125015,0.04034763257998695,6.800001514627717,6.123938134429995,6.123938134429995,1
32,1758728804.844426,-8.529480954092943,-0.7136520432218639,0.15450529074761465,7.483922973492609,5.533105931530351,5.533105931530351,1
33,1758728805.8437216,-8.651361917067758,-1.2830144348504633,0.5826719101232117,7.134420206371995,5.096615852266761,5.096615852266761,1
34,1758728806.8439686,-8.584703327068512,-1.791856577351016,0.5130629973599921,6.475156414894115,4.4477751434764885,4.4477751434764885,1
35,1758728807.8493416,-8.284242993090002,-2.19625104357282,0.5011044455686731,5.6782149183311,3.657683244899727,3.657683244899727,1
36,1758728808.8461378,-7.898524350245248,-2.692431470712369,0.6304894859708847,4.826801478474882,2.841264770475238,2.841264770475238,1
37,1758728809.8502862,-7.5708257783467765,-3.197577062402682,0.5996406453142412,4.149952256654537,2.2663270930473374,2.2663270930473374,1
38,1758728810.842487,-7.282817166719575,-3.599896339997104,0.49867175469989283,3.689012192734974,1.9633117623060734,1.9633117623060734,2
39,1758728811.8441448,-7.1681277998076105,-3.7477323063004673,0.18679759324788284,3.0624169992456474,2.1652300147839947,2.1652300147839947,2
40,1758728812.8440917,-7.0944288231602854,-3.788170881989658,0.08406883531008888,2.504895605978709,2.482059834000225,2.482059834000225,2
41,1758728813.8486679,-7.262827718532638,-3.7253344743010226,0.17892159203394858,1.8920367962733964,2.280589344769336,1.8920367962733964,2
42,1758728814.843786,-7.166086919547307,-3.44165488601845,0.3011917311003332,1.482428112406012,1.9642244367891557,1.482428112406012,2
43,1758728815.8456721,-7.2765707457962785,-3.1632879858115044,0.29892709785830807,1.198397095558905,2.0207726403382917,1.198397095558905,2
44,1758728816.8436806,-7.564783857527702,-3.018169445436464,0.3233298123191082,1.1538095373403772,2.4790339792668794,1.1538095373403772,2
45,1758728817.8446703,-7.920157919082032,-2.688904630370422,0.4839857076006748,1.7830439801419706,3.2537031928532123,1.7830439801419706,2
46,1758728818.847415,-8.034269736053066,-2.2133384427503233,0.48772648375987354,2.5485323048429644,3.828922819034218,2.5485323048429644,2
47,1758728819.84667,-7.856339401604023,-1.7199855288470207,0.5248491458685693,3.2812744629972945,4.148960762324468,3.2812744629972945,2
48,1758728820.8494842,-7.658471341240601,-1.183956270869033,0.5697799990090902,3.920340383273051,4.458341504622079,3.920340383273051,2
49,1758728821.843202,-7.541434149194283,-0.5676255307130555,0.6313105812418788,4.554334416070946,4.835923734761453,4.554334416070946,2
50,1758728822.842772,-7.338778411814005,0.02200982648933221,0.6237578193627308,4.985626984821737,5.115282876633512,4.985626984821737,2
51,1758728823.8448567,-7.07330835710745,0.4944678128036058,0.540805125471631,5.227126891429632,5.349840101978052,5.227126891429632,2
52,1758728824.8482792,-6.699592366000865,0.7479538049308809,0.45003344305672305,4.978473779096051,5.37532076775774,4.978473779096051,3
53,1758728825.84475,-6.572102722325156,0.7067314636060976,0.13446295901213437,3.979638868898359,4.806015179884575,3.979638868898359,3
54,1758728826.8440318,-6.733628487792624,0.9034989934034552,0.2547571657908192,3.2064899340738346,4.40878705318637,3.2064899340738346,3
55,1758728827.851503,-6.819237564507432,0.9453041857353958,0.09456462918542684,2.5135404097844725,4.035181405938983,2.5135404097844725,3
56,1758728828.8459485,-7.210217317437997,1.1846791603719973,0.46099874785760386,2.319029304310767,4.20160985661043,2.319029304310767,3
57,1758728829.843935,-7.490694765802031,1.5602533607566045,0.46969251763132347,2.423701672673931,4.627106348282541,2.423701672673931,3
58,1758728830.8453891,-7.47723629974373,1.9941483376115656,0.4334733326174722,2.8314398773496188,5.269020393922052,2.8314398773496188,3
59,1758728831.8480697,-7.232678290748345,2.0199723585844445,0.2452602388882114,3.200658230416836,5.733391420232033,3.200658230416836,3
